Id,Name,Description,ProductType,MaintenanceType,ApplyType,BasePrice,Level,UpgradeCost,EffectType,TargetIds,EffectValue,RequiredTotalDay,RequiredWeeklyRating,RequiredMaintenanceId,RequiredMaintenanceLevel
Mtc_Facility_InventoryCapacity,인벤토리 용량 증가,인벤토리 공간이 늘어난다.,Expansion,Facility,Immediately,400,1,0,InventoryCapacity,,75,,,,
,,,Expansion,Facility,Immediately,,2,800,InventoryCapacity,,100,7,,,
,,,Expansion,Facility,Immediately,,3,1300,InventoryCapacity,,125,14,,,
,,,Expansion,Facility,Immediately,,4,2000,InventoryCapacity,,150,28,,,
Mtc_Facility_PartStock,파츠 재고 수량 증가,파츠당 최대 재고 수량이 늘어난다.,Expansion,Facility,NextDay,600,1,0,PartMaxStockBonus,,2,,,,
,,,Expansion,Facility,NextDay,,2,1100,PartMaxStockBonus,,4,7,,,
,,,Expansion,Facility,NextDay,,3,1800,PartMaxStockBonus,,6,14,,,
,,,Expansion,Facility,NextDay,,4,2700,PartMaxStockBonus,,8,28,,,
Mtc_Facility_RestockSpan,파츠 재입고 간격 감소,파츠들이 재입고되는 간격이 줄어든다.,Expansion,Facility,NextDay,700,1,0,RestockSpan,,6,,,,
,,,Expansion,Facility,NextDay,,2,1300,RestockSpan,,5,10,,,
,,,Expansion,Facility,NextDay,,3,2100,RestockSpan,,4,21,,,
,,,Expansion,Facility,NextDay,,4,3000,RestockSpan,,3,35,,,
Mtc_Facility_OrderWaiting,수락 대기 주문 제한,대기 주문의 개수가 늘어난다.,Expansion,Facility,Immediately,400,1,0,OrderWaitingLimit,,8,,,,
,,,Expansion,Facility,Immediately,,2,750,OrderWaitingLimit,,11,7,,,
,,,Expansion,Facility,Immediately,,3,1200,OrderWaitingLimit,,14,14,,,
,,,Expansion,Facility,Immediately,,4,1800,OrderWaitingLimit,,17,21,,,
,,,Expansion,Facility,Immediately,,5,2500,OrderWaitingLimit,,20,35,,,
Mtc_Facility_CraftQuota,일일 제작 할당량,하루에 제작할 수 있는 아기의 수가 늘어난다.,Expansion,Facility,NextDay,1000,1,0,CraftQuota,,3,,,,
,,,Expansion,Facility,NextDay,,2,2200,CraftQuota,,4,14,,,
,,,Expansion,Facility,NextDay,,3,4000,CraftQuota,,5,28,,,
Mtc_Facility_DeliverySpan,배송 소요일 단축,배송에 걸리는 시간이 단축된다.,Expansion,Facility,NextDay,800,1,0,DeliverySpanReduction,,1,7,,,
,,,Expansion,Facility,NextDay,,2,1700,DeliverySpanReduction,,2,21,,,
,,,Expansion,Facility,NextDay,,3,3000,DeliverySpanReduction,,3,35,Good,,
Mtc_Research_Part_Hair,털 파츠 연구,새로운 털 파츠를 해금한다.,Equipment,Research,Immediately,500,1,0,PartUnlock,Part_Mandragora_Hair_01|Part_Werewolf_Hair_01,0,7,,,
,,,Equipment,Research,Immediately,,2,1200,PartUnlock,Part_Goat_Hair_01,0,14,,,
Mtc_Research_Part_Wings,날개 파츠 연구,새로운 날개 파츠를 해금한다.,Equipment,Research,Immediately,600,1,0,PartUnlock,Part_Vampire_Wings_01,0,14,,,
,,,Equipment,Research,Immediately,,2,2500,PartUnlock,Part_Gargoyle_Wings_01,0,28,,,
Mtc_Research_Part_Tail,꼬리 파츠 연구,새로운 꼬리 파츠를 해금한다.,Equipment,Research,Immediately,500,1,0,PartUnlock,Part_Imp_Tail_01,0,,,,
,,,Equipment,Research,Immediately,,2,1200,PartUnlock,Part_Werewolf_Tail_01,0,7,,,
,,,Equipment,Research,Immediately,,3,2200,PartUnlock,Part_Bicorn_Tail_01|Part_Gargoyle_Tail_01,0,28,,,
Mtc_Research_Part_Claws,발톱 파츠 연구,새로운 발톱 파츠를 해금한다.,Equipment,Research,Immediately,1200,1,0,PartUnlock,Part_Gargoyle_Claws_01,0,28,,,
Mtc_Research_Part_Horns,뿔 파츠 연구,새로운 뿔 파츠를 해금한다.,Equipment,Research,Immediately,600,1,0,PartUnlock,Part_Imp_Horns_01,0,,,,
,,,Equipment,Research,Immediately,,2,1400,PartUnlock,Part_Goat_Horns_01,0,14,,,
,,,Equipment,Research,Immediately,,3,2500,PartUnlock,Part_Bicorn_Horns_01|Part_Gargoyle_Horns_01,0,28,,,
Mtc_Research_Theme_Soft,말랑 테마 연구,말랑 테마 점수에 {0}점을 추가한다.,Equipment,Research,Immediately,400,1,0,ThemeScoreBonus,Soft,10,7,,,
,,,Equipment,Research,Immediately,,2,900,ThemeScoreBonus,Soft,20,14,,,
,,,Equipment,Research,Immediately,,3,1600,ThemeScoreBonus,Soft,30,28,Good,,
Mtc_Research_Theme_Fluffy,복슬 테마 연구,복슬 테마 점수에 {0}점을 추가한다.,Equipment,Research,Immediately,400,1,0,ThemeScoreBonus,Fluffy,10,7,,,
,,,Equipment,Research,Immediately,,2,900,ThemeScoreBonus,Fluffy,20,14,,,
,,,Equipment,Research,Immediately,,3,1600,ThemeScoreBonus,Fluffy,30,28,Good,,
Mtc_Research_Theme_Pointy,뾰족 테마 연구,뾰족 테마 점수에 {0}점을 추가한다.,Equipment,Research,Immediately,400,1,0,ThemeScoreBonus,Pointy,10,7,,,
